#{"t_start": 1691680379.9299045, "env_id": "JSBSim-v0"}
r,l,t
54.819997,1200,0.4856
55.863181,1200,1.72197
185.815009,812,2.031959
59.388329,1200,3.215876
61.328571,1200,3.689289
58.261361,1200,4.856477
186.049719,858,5.189269
-103.188381,390,5.338887
185.778545,819,6.379606
-22.822004,821,6.693558
185.806092,946,8.011052
58.944216,1200,8.983736
186.59817,788,10.867528
54.605204,1200,11.842241
-107.713944,377,12.147231
185.609742,798,14.021631
52.655821,1200,14.993375
184.999648,1040,17.069438
-105.838111,374,17.372411
78.176259,1200,19.578068
54.04124,1200,20.569721
184.704911,1090,22.693604
-107.530033,357,22.984628
-94.71447,428,23.331462
52.608246,1200,25.528253
56.094809,1200,26.500029
68.097893,1200,28.705519
54.293296,1200,30.906196
71.10783,1200,31.87994
-81.862436,500,32.314433
54.000621,1200,34.586946
185.339151,818,35.305557
51.657814,1200,37.588064
60.164194,1200,39.870586
72.478402,1200,40.92199
71.265534,1200,43.203912
62.491614,1200,44.251408
49.892061,1200,46.532609
57.830865,1200,47.575133
185.867372,991,49.687007
185.647215,831,50.420862
186.082985,792,52.354444
52.645173,1200,53.396955
52.380595,1200,55.680405
56.729369,1200,56.723902
45.851054,1200,59.012042
53.558385,1200,61.300303
185.270347,822,62.016838
84.893251,1200,64.295485
186.033366,1004,65.178524
61.880954,1200,67.455957
77.231925,1200,68.505459
80.992026,1200,70.785346
185.043378,1043,71.697249
185.562142,891,73.711315
51.123596,1200,74.750853
185.952907,856,76.732602
-93.605253,499,77.165158
58.28778,1200,79.440711
59.954816,1200,80.504169
75.316299,1200,82.784361
42.751975,1200,83.83086
49.846389,1200,86.043153
73.096676,1200,87.29842
186.105518,1174,87.783819
84.39501,1200,88.976213
49.477599,1200,89.477539
45.2277,1200,90.724935
68.624823,1200,91.916065
72.536292,1200,92.403505
48.488015,1200,93.577237
59.765132,1200,94.068582
41.432472,1200,95.246838
56.232573,1200,95.779188
53.120762,1200,96.94418
75.926353,1200,98.154104
186.38786,769,98.469115
65.837683,1200,99.647174
57.367444,1200,100.141492
54.236368,1200,101.349544
75.348234,1200,101.843883
51.570985,1200,103.027606
46.356641,1200,104.27543
65.389644,1200,104.77476
56.57827,1200,105.966772
61.149909,1200,106.509954
185.85172,1105,107.663096
186.111897,827,108.003956
58.852167,1200,109.216897
186.615805,1067,109.65543
185.680089,783,110.661246
185.921607,833,111.003165
78.488736,1200,112.18812
50.423137,1200,112.676487
56.434325,1200,113.879455
58.709246,1200,114.386737
58.769345,1200,115.567021
71.739187,1200,116.744245
79.800115,1200,117.238596
59.483312,1200,118.411666
49.073319,1200,118.90602
60.186303,1200,120.112753
61.103212,1200,121.320696
70.966325,1200,121.830984
184.370253,838,122.851602
76.678982,1200,123.338926
71.685419,1200,124.504876
53.109178,1200,124.995477
59.202596,1200,126.260231
56.95754,1200,126.792462
54.765859,1200,127.995437
56.953015,1200,129.201409
-49.262362,718,129.467523
-96.737654,465,129.637946
51.977208,1200,130.754205
56.68376,1200,131.188751
184.933679,798,132.147304
58.053111,1200,132.59581
56.409488,1200,134.564008
55.404156,1200,136.760247
70.198488,1200,137.736079
60.078561,1200,139.930772
-40.554482,1161,140.866641
60.211378,1200,143.066603
-100.247906,388,143.380565
-78.778502,515,143.795155
184.939825,787,145.65387
58.510567,1200,146.620626
-32.038577,1132,148.759196
63.022468,1200,149.727011
65.226971,1200,151.928951
56.219423,1200,154.131938
184.997987,882,154.844556
51.946177,1200,157.044338
-110.75958,393,157.362267
60.497499,1200,158.331032
66.973193,1200,160.530666
52.624442,1200,162.722568
84.355273,1200,163.690334
68.00131,1200,165.880711
-26.308878,1021,166.711923
62.60202,1200,168.902551
73.357984,1200,169.870303
-99.697579,434,171.453012
56.869406,1200,172.425757
-93.71249,453,172.795523
79.366321,1200,174.992245
61.809738,1200,177.199905
71.649883,1200,178.168663
69.535728,1200,180.373635
52.320489,1200,181.3414
62.18375,1200,183.54903
58.345189,1200,185.749677
54.867745,1200,186.724416
55.547678,1200,188.939091
59.992857,1200,189.90786
36.795646,1200,192.117065
61.510495,1200,193.091804
10.8036,1200,195.301764
18.874871,1200,197.506522
66.006254,1200,198.480265
24.907885,1200,200.709208
59.102497,1200,201.681953
76.575799,1200,203.905514
-104.438003,465,204.282253
185.947751,781,206.14508
52.691892,1200,207.118822
184.802309,1159,209.296536
-72.512684,729,209.888556
60.94721,1200,212.080694
28.514097,1200,213.047454
54.96349,1200,215.232354
63.959132,1200,216.199109
185.730774,790,218.057834
79.902988,1200,219.02564
59.502728,1200,221.219253
30.38862,1200,222.400867
48.045471,1200,222.872232
186.147196,1009,223.987559
43.277707,1200,224.435091
42.146569,1200,225.569433
56.129044,1200,226.050818
33.743237,1200,227.204416
186.549405,841,227.535261
65.007726,1200,228.688728
64.811231,1200,229.829256
68.23689,1200,230.272844
26.457765,1200,231.384456
79.480114,1200,231.828012
67.207742,1200,232.97619
13.013871,1200,234.994276
64.141957,1200,235.965973
78.906399,1200,238.172701
69.999544,1200,239.155255
49.304471,1200,241.369735
48.00979,1200,242.337487
65.633676,1200,244.564442
-9.414015,1200,246.802622
77.392104,1200,247.772388
40.033809,1200,250.002023
58.427776,1200,250.96981
186.707804,880,252.924567
57.224458,1200,253.900322
51.965244,1200,256.116484
36.594575,1200,258.335035
-7.239597,1200,259.305836
53.293843,1200,261.529559
34.540072,1200,262.497565
48.968194,1200,264.739438
53.948694,1200,265.708948
186.27796,1188,267.937743
51.987508,1200,270.16772
50.441407,1200,271.144452
49.666706,1200,273.377416
42.111313,1200,274.344173
77.914189,1200,276.576879
16.63813,1200,278.815449
11.064693,1200,279.783188
186.345718,790,281.687269
44.106282,1200,282.663022
33.050449,1200,284.897581
45.952612,1200,285.864317
63.448961,1200,288.10284
-5.841938,1200,289.069599
-12.601814,1200,291.301237
40.073675,1200,293.53271
48.997767,1200,294.499769
-29.955427,1200,296.73846
63.841696,1200,297.705235
52.536949,1200,299.934842
186.086156,842,300.611537
52.398092,1200,302.846791
57.477817,1200,305.082015
42.263919,1200,306.048776
52.501816,1200,308.280306
49.756906,1200,309.246083
57.969846,1200,311.481707
22.533096,1200,313.706694
53.137844,1200,314.680403
185.745327,824,315.343204
15.159749,1200,317.573245
-11.772761,1200,319.805734
70.604843,1200,320.7705
57.902601,1200,323.006237
185.098388,850,323.689959
60.650293,1200,325.934656
184.662268,844,326.619365
185.688396,893,328.577302
185.32434,768,329.196246
53.701193,1200,331.391091
6.09064,1200,332.357828
68.612011,1200,334.562898
66.118641,1200,335.53365
67.465839,1200,337.733844
185.673783,770,338.366432
58.13586,1200,340.56829
53.589013,1200,342.763634
46.585624,1200,343.73239
-21.310417,1200,345.922207
185.988717,817,346.580997
30.081764,1200,348.804895
10.226747,1200,349.769657
47.829767,1200,352.005478
185.313966,791,352.653796
63.300052,1200,354.857832
185.12136,756,355.467833
187.235546,819,357.365131
58.528633,1200,358.332897
16.803476,1200,360.54247
47.661573,1200,361.515215
52.014208,1200,363.736782
186.77641,779,364.37166
52.334396,1200,366.573569
59.482756,1200,368.783841
51.742076,1200,369.751584
38.330972,1200,371.844753
43.525876,1200,372.328135
-23.66921,1200,373.531201
-15.397578,1200,373.982707
-6.184408,1200,375.166918
-8.859153,1200,376.299988
52.409459,1200,376.758464
-15.567216,1200,377.881693
54.524729,1200,378.345207
-20.374478,1200,379.487323
-19.643789,1200,380.629715
-17.67844,1200,381.078153
185.782215,790,382.042881
73.03175,1200,382.486447
56.501726,1200,383.614501
49.994688,1200,384.075954
-16.97424,1200,385.233144
33.813506,1200,385.695587
73.892546,1200,386.834715
62.684154,1200,387.979744
10.538446,1200,388.457151
66.954313,1200,389.604309
58.910037,1200,390.090682
-8.599432,1200,391.233857
78.392043,1200,392.359187
48.932113,1200,392.826651
-10.500566,1200,393.956657
68.125617,1200,394.410215
186.794009,979,395.472514
54.559865,1200,395.930926
53.905387,1200,397.107062
76.940622,1200,398.261309
186.09885,882,398.604151
55.524451,1200,399.755334
71.701757,1200,400.199837
53.541971,1200,401.348234
60.155787,1200,401.794677
57.479147,1200,402.975989
84.32004,1200,403.418509
58.027615,1200,404.534892
52.647006,1200,405.685089
50.770654,1200,406.143579
186.029246,766,407.096426
186.069542,786,407.481093
81.618864,1200,409.688918
185.059319,797,410.335754
58.361719,1200,412.553782
64.67857,1200,413.521514
52.593426,1200,415.73016
186.192997,864,416.425834
54.944057,1200,418.64091
60.068219,1200,419.613655
58.866828,1200,421.81538
60.98197,1200,422.77816
48.75117,1200,424.973623
51.222737,1200,427.180302
68.001175,1200,428.147071
76.443282,1200,430.371115
185.378698,1131,431.290036
65.99745,1200,433.528807
185.209616,758,434.143778
74.484171,1200,436.379768
-75.9564,494,436.777434
57.793935,1200,438.968047
-104.718672,521,439.390634
-42.492127,610,439.883983
71.317818,1200,442.075763
49.455424,1200,443.03954
78.995112,1200,445.239113
54.659849,1200,447.442115
69.458684,1200,448.408852
68.355233,1200,450.617586
73.338889,1200,451.585349
63.118249,1200,453.776437
57.147589,1200,455.966359
186.009048,759,456.578115
53.603908,1200,458.767285
50.601444,1200,459.741985
51.916508,1200,461.938161
49.329786,1200,462.909909
-88.158088,421,464.473383
186.253112,1184,465.428239
58.894625,1200,467.617292
49.00542,1200,468.584035
60.526932,1200,470.775962
63.614563,1200,471.741734
63.624927,1200,473.941662
55.768515,1200,476.128981
52.607826,1200,477.094744
55.195473,1200,479.285169
187.027356,885,479.998782
58.769767,1200,482.191619
58.026153,1200,483.155442
73.79187,1200,485.355956
50.818122,1200,487.551903
67.718618,1200,488.525632
55.916202,1200,490.728281
48.6957,1200,491.698001
62.2789,1200,493.906585
64.151486,1200,494.876384
56.580024,1200,496.423393
184.414956,863,496.761297
83.916636,1200,497.944562
185.757616,887,498.98923
60.086183,1200,499.487563
185.930497,834,499.832409
45.05572,1200,501.125824
46.037076,1200,502.243157
49.44819,1200,502.704671
51.711191,1200,503.86026
186.706538,838,504.179189
62.454735,1200,505.323806
-107.855748,556,505.531178
46.389431,1200,506.706168
65.677987,1200,507.151669
66.704719,1200,508.264156
48.647442,1200,508.715564
-110.387431,563,509.588746
50.22065,1200,510.036244
62.152928,1200,511.155986
72.128028,1200,511.593518
48.590072,1200,512.736758
-53.565066,507,512.928113
46.088912,1200,514.105412
-105.856773,488,514.298649
185.57262,864,515.326356
186.713539,859,515.65121
186.203493,1052,516.058764
-97.978106,468,516.917824
57.10538,1200,517.369317
49.46165,1200,518.484608
-106.380879,487,518.669987
40.567434,1200,519.791362
65.793997,1200,520.240861
186.156045,833,521.213195
-105.31176,499,521.395586
